138,borrelia,Borrelia
159,bhyodysenteriae,Brachyspira hyodysenteriae
171,leptospira_3,Leptospira
195,campylobacter,Campylobacter coli
196,cfetus,Campylobacter fetus
197,campylobacter,Campylobacter jejuni
198,chyointestinalis,Campylobacter hyointestinalis
199,cconcisus,Campylobacter concisus
201,clari,Campylobacter lari
206,csputorum,Campylobacter sputorum
210,hpylori,Helicobacter pylori
213,hcinaedi,Helicobacter cinaedi
222,achromobacter,Achromobacter
287,paeruginosa,Pseudomonas aeruginosa
292,bcc,Burkholderia cepacia
294,pfluorescens,Pseudomonas fluorescens
445,legionella,Legionella
470,abaumannii_2,Acinetobacter baumannii
482,neisseria,Neisseria
504,kkingae,Kingella kingae
520,bordetella,Bordetella pertussis
546,cfreundii,Citrobacter freundii
549,pagglomerans,Pantoea agglomerans
550,ecloacae,Enterobacter cloacae
561,ecoli_2,Escherichia
571,koxytoca,Klebsiella oxytoca
573,kpneumoniae,Klebsiella pneumoniae
620,ecoli,Shigella
629,yersinia,Yersinia
633,ypseudotuberculosis,Yersinia pseudotuberculosis
636,edwardsiella,Edwardsiella tarda
642,aeromonas,Aeromonas
662,vibrio,Vibrio
666,vcholerae,Vibrio cholerae
670,vparahaemolyticus,Vibrio parahaemolyticus
672,vvulnificus,Vibrio vulnificus
703,pshigelloides,Plesiomonas shigelloides
724,haemophilus,Haemophilus
727,hinfluenzae,Haemophilus influenzae
747,pmultocida_rirdc,Pasteurella multocida
784,otsutsugamushi,Orientia tsutsugamushi
810,chlamydiales,Chlamydia
837,pgingivalis,Porphyromonas gingivalis
953,wolbachia,Wolbachia
1255,ppentosaceus,Pediococcus pentosaceus
1280,saureus,Staphylococcus aureus
1282,sepidermidis,Staphylococcus epidermidis
1283,shaemolyticus,Staphylococcus haemolyticus
1303,soralis,Streptococcus oralis
1307,ssuis,Streptococcus suis
1308,sthermophilus_2,Streptococcus thermophilus
1311,sagalactiae,Streptococcus agalactiae
1313,spneumoniae,Streptococcus pneumoniae
1314,spyogenes,Streptococcus pyogenes
1329,scanis,Streptococcus canis
1334,sdysgalactiae,Streptococcus dysgalactiae
1336,szooepidemicus,Streptococcus equi
1349,suberis,Streptococcus uberis
1351,efaecalis,Enterococcus faecalis
1352,efaecium,Enterococcus faecium
1396,bcereus,Bacillus cereus
1402,blicheniformis,Bacillus licheniformis
1423,bsubtilis,Bacillus subtilis
1464,plarvae,Paenibacillus larvae
1491,cbotulinum,Clostridium botulinum
1504,csepticum,Clostridium septicum
1582,lcasei,Lactobacillus casei
1624,lsalivarius,Lactobacillus salivarius
1639,lmonocytogenes,Listeria monocytogenes
1717,cdiphtheriae,Corynebacterium diphtheriae
1744,pfreudenreichii,Propionibacterium freudenreichii
1883,streptomyces,Streptomyces
2100,mhyorhinis,Mycoplasma hyorhinis
2110,magalactiae,Mycoplasma agalactiae
2371,xfastidiosa,Xylella fastidiosa
2751,cmaltaromaticum,Carnobacterium maltaromaticum
5207,cneoformans,Cryptococcus neoformans
5476,calbicans,Candida albicans
5482,ctropicalis,Candida tropicalis
5722,tvaginalis,Trichomonas vaginalis
28035,slugdunensis,Staphylococcus lugdunensis
28080,cupsaliensis,Campylobacter upsaliensis
28105,sinorhizobium,Sinorhizobium
28196,arcobacter,Arcobacter
28251,orhinotracheale,Ornithobacterium rhinotracheale
28450,bpseudomallei,Burkholderia pseudomallei
28898,chelveticus,Campylobacter helveticus
28901,senterica,Salmonella enterica
28903,mbovis,Mycoplasma bovis
29486,yruckeri,Yersinia ruckeri
29521,brachyspira,Brachyspira
29574,taylorella,Taylorella
33970,mplutonius,Melissococcus plutonius
34085,ranatipestifer,Riemerella anatipestifer
36809,mabscessus,Mycobacterium abscessus
38323,bhenselae,Bartonella henselae
40324,smaltophilia,Stenotrophomonas maltophilia
52443,vtapetis,Vibrio tapetis
52584,bpilosicoli,Brachyspira pilosicoli
75658,clanienae,Campylobacter lanienae
75985,mhaemolytica,Mannheimia haemolytica
79923,csinensis,Clonorchis sinensis
84377,bintermedia,Brachyspira intermedia
96345,fpsychrophilum,Flavobacterium psychrophilum
104267,tenacibaculum,Tenacibaculum
260714,cinsulaenigrae,Campylobacter insulaenigrae
283734,spseudintermedius,Staphylococcus pseudintermedius
315405,sgallolyticus,Streptococcus gallolyticus
413496,cronobacter,Cronobacter
444888,yersinia,Yersinia
511927,hsuis,Haematopinus suis
751907,kseptempunctata,Kudoa septempunctata
1287055,bhampsonii,Brachyspira hampsonii
